X,Y
855.5,758.3
848.2,753.9
842.1,760.7
839.6,758
841.7,753.1
845.1,746.7
845.7,746.1
851.5,746.8
856.7,748.6
862,748.1
859.9,743.8
858.6,740.8
849,742.7
849,737.2
844.5,737.4
838.5,738.1
840.7,730.2
838.9,724.6
840.8,725.4
842.9,726.9
843.6,726.7
847.9,720.2
848.4,719.5
854.2,724
854.1,725.4
849.1,729.8
846.9,731.2
848.5,731.4
850.8,730.9
858.2,730.3
856.3,731.8
855,735.6
858.4,737.9
862.2,738.9
861.3,742.3
864.3,745.1
866.8,744.2
867.7,747.8
869.5,752.8
872.1,753.2
872.6,752
875,753.2
875.6,747.2
878.5,745.9
882,742
881.5,739.1
876.3,737.6
878.8,733.4
877.5,729.6
877.2,726.1
883.5,723.9
886,725.1
885.6,728.1
882.3,733.1
886.9,732.8
891.9,732.5
889.9,735.1
886.9,739.6
888.2,740.2
890.8,735.5
892.9,735.1
896.7,736.8
896.8,731.9
900,733.5
901.7,727.4
902.5,721.6
902.2,720.9
901.6,720.9
896.2,723.1
891.4,727.2
892.4,718.9
894.3,717.6
899.3,718.2
900.2,717.9
901.1,716.4
900.8,712.4
895.5,714.8
890.3,713
891.5,710
892.7,709.7
892.5,708.4
888.2,704.1
890.2,703.4
890.8,705.9
896.7,708.6
898.1,706.5
895.3,704.6
893.7,702.9
894.2,702.4
896.7,701.2
897.7,701
898.1,699
895.2,697.9
893.7,694.8
896.6,692.5
901.3,689.9
905,691.6
906.7,692.8
903.8,693.3
902.4,694.2
903,696.9
903.3,699.9
907,701.6
907,704.3
912.4,711.1
914.8,710.8
912.8,718.1
903.7,722.5
905.4,729.9
908.1,734
909.6,734.8
913.7,729.6
917,721.8
919.1,715.5
919.4,718.1
922.2,722.7
924.3,722.3
924.4,721.9
926.5,720.4
926.3,718.7
924.4,714.8
933,715.8
929.8,711.7
921.5,709.1
917.6,706.2
915,693.6
910.5,685.5
911.7,684.5
908.2,682.7
907,686.1
906.5,685.5
906.6,684.9
905.8,683.6
905,684.3
902.7,685.8
900.7,685.8
897.8,686
896,688.4
894.9,689.6
891.9,690.9
888,692.3
887.1,697.5
888,699.1
884.4,699.6
881.5,705.4
882.1,707.1
879.7,707.7
880.3,710.7
879.6,711.9
879.5,713.8
883,717.3
879.2,719.1
875.9,719.9
877.4,716
875.2,714.2
874.8,709.8
872.2,711.6
872.3,712.3
870.4,713.6
868.2,714.1
871.5,718.5
866.1,730.9
867,733
866.9,734.8
865.3,735.6
862.1,725.9
862,723.4
866.2,721.3
864.1,720.8
859.2,719.7
861.1,715.5
865.7,715.4
861,710.4
861.1,709.3
856.4,705.8
858,703.2
860.1,704.1
860.4,707.4
864.9,707.7
866.8,703.6
872.1,705.8
875.6,698.8
869.9,697.1
869.2,697
868.6,697.2
863.4,699.9
859,700
856.3,699.4
857.7,692.8
857.7,689.9
864.1,692.7
863.2,685.9
862.1,685.4
864.6,683.5
873.3,681.2
873.1,686.5
877.8,692.4
879.5,688.3
880.8,689.9
881.3,693.1
883.6,691.6
883.8,688.5
885,681.3
884.2,681.2
881.7,675.8
883,671.7
876.9,665.1
877.5,661.3
882,659.9
882.2,660
881.7,662.3
884.9,666.7
884.4,668.6
884.5,670.3
888.4,674.3
888.3,675.4
889.2,678.6
894.8,665.2
898.8,666.9
899.3,663.5
896.1,659.4
892,655.7
898,656.1
897.7,653.7
894.1,653.2
893.1,652.5
888.4,652
887.5,654.6
882.9,655.7
878,653.2
872.9,646.3
878,645.5
879.5,645.5
880,644.4
880.5,644.1
884.5,648.7
889.9,645.6
894.9,644.9
899.2,647.5
897.8,652.2
898.5,652
905.4,648.9
906.8,647.3
908.4,648.1
911.1,644.2
909.4,644
909.2,644.8
901.7,639.8
902.8,637.9
899.5,636.7
895.5,634.6
891.6,633.6
893.3,632.8
894.6,627.8
896.5,619.5
901.2,621.4
904.7,622.7
902.5,627.3
906.8,630.1
908.6,629.8
910,630.4
910.5,636.1
913.9,633.6
915.8,633.5
916.8,632.8
918.4,632.2
915.7,629.1
913.9,628.3
913.6,627.9
909.1,627.6
911.5,625.2
915.8,623.8
918.9,622.5
921.7,621.3
920,621.2
915.7,617.1
908.3,616.2
896.5,612.7
894.8,605.4
896.7,603.8
903.7,608.9
903.5,604
905.1,603.2
907.8,602.8
907.6,605.3
907.4,606.4
911.2,608.2
910.4,611.1
914,611.6
917.9,608.9
925,609.2
928.2,606.8
927.3,611.5
928.1,614
922.3,619.1
927.5,617.5
929,618.7
928.6,620.9
930.2,622.1
934.1,623.7
931.5,618.3
931.2,615
932.7,616.2
933.8,617.9
934.6,618.3
936,617
938.5,615.5
942.7,616
945.9,615.4
946.4,614.7
946.1,613.3
947.6,612.6
948.7,614.8
951.7,616.1
947.4,618.1
952,622.1
959.1,627.2
954.3,627.2
952.7,625.8
945.9,626.7
946.3,629
943.2,630
943.5,630.3
946.8,633.1
949.1,636.1
947,638
949.4,642.1
948.7,648.8
953.7,655.8
945.5,658.1
942.9,659.4
943.8,652.1
938.1,653.5
938.9,654.4
937.5,658.1
939.5,667
938.4,669.9
935.5,668.1
933.1,669.2
934.7,677.2
936.5,678.2
937.8,681.5
933,679.4
931,679.1
932.6,675.4
932.9,674.4
930.6,672.9
927.7,674.9
926.2,670.3
928.5,665.2
926.6,662.3
930.6,654.9
928.7,653.1
924,651.9
923.4,646.2
931.7,646.9
933.5,645
936,640.5
936.6,637.7
939.3,631.5
933.5,635
932.2,630.8
926.1,632.4
921.5,633.3
920,637.8
919.1,641
916.4,643.1
915.4,647.8
915.3,647.8
915.7,655.1
915.5,655.9
920.5,661.9
919.3,665.2
919.4,667.3
916.7,669.9
910.7,661.6
909.8,659.2
905.7,656.4
907.4,665.5
909.9,669.6
907.7,671.6
906.8,671
902.8,673.2
901.5,677.4
901.8,677.9
899.4,680.4
903.6,679.5
905.4,680.5
909.9,676
912.9,674.6
913.7,677.7
914.7,678.8
916.4,678.9
916.5,679.2
917.1,679.4
927.4,678.1
928.6,679.8
924.1,690.7
928.3,691.8
926.4,696.3
926.5,697.9
932.3,703.4
935.8,702.7
933.5,700.7
935,698.5
934.8,695.3
931.4,693.6
935.7,689.4
937.6,698.1
939.7,700.2
941.9,702.7
942.8,694.3
945,688.8
944.4,694.2
944.6,695.8
944.3,697.1
945.1,699.4
945.3,701.4
947.7,701.5
947.3,700.5
949.5,697.6
949.9,696.1
950.5,696.1
951.3,695.9
953.8,692.8
963.8,684.8
962.7,681.6
960.4,682.7
954.8,687.5
953.1,687.3
949.6,685.7
949.5,685.8
948.3,686.9
944.9,687
941.4,682.7
943.8,676.7
946.1,675
954.7,664.9
956.3,664
958.4,662.7
959.4,667.2
960.8,667
964.3,668.7
965.3,671.8
961.8,671.4
958.7,677.5
959.2,677.9
964.2,674.4
965.5,674.1
967.5,672.2
967.4,668.1
968.1,661.2
971.1,665.7
975.5,666.4
975.5,665.2
979.9,664.8
979.8,664
978.5,663.5
976.1,657
979.7,654.3
977.7,652.9
973.1,655.9
966.5,653.9
963.7,656.6
960.7,660.7
961.4,658.1
960.6,652.3
955.8,646.8
959.4,641.9
961.2,639.5
955.5,643.4
952.6,640.3
954.5,636.2
957.9,637.1
956.2,632.1
960.4,632.3
962.2,635.8
966.1,633.2
967.5,623.8
968.8,622.5
974.1,628.1
970.2,633.2
968.7,637
971.6,636.9
973.9,639.7
978.2,638.9
973.8,644.9
971.1,646.9
975.5,649.7
979.6,646.9
980.9,644
985.7,636.2
985.6,632
980.3,628
979.1,628.8
977.8,630.1
976.9,628.3
979.4,623.4
980.2,619.6
977.6,619.3
975.4,618.4
973,619.2
971,614
969.4,613.7
970.3,611.6
968.4,612.5
959.5,612.5
961.3,597.3
957.4,596.8
956.8,592.7
956,591.7
950.4,589.1
950.7,593.3
947.7,596.4
945.2,598.1
943.2,601.9
943.5,607.5
937.1,603.6
939.3,600.2
937.7,596.8
931,595.7
934.2,595.1
938,592
941.7,580.1
936.6,580.5
934.3,579.1
932.5,576.6
931.2,574.5
934,571.6
939.9,568.5
941.5,565.1
941.2,564.5
944.4,570.2
947.7,577.4
951.6,578
950.3,574.1
956.3,569.9
956.1,567.5
955.9,557
955.4,555.1
954.4,555.8
947.4,557.2
946.5,560.5
945.9,561.6
944.3,559.5
938.5,558
938.7,553.9
939.1,548.6
936.3,550.8
932.9,551.2
932.3,556.2
930,561
932.6,561.8
929.8,563.4
923.7,563.2
921.4,562.4
918.4,560.6
920.1,565.1
926.9,568.5
929.6,577.7
935.1,580.6
934.7,583
934.1,584.3
932.5,585.3
935.4,586.8
934.1,589.2
928.8,590.2
928.1,591.9
926.8,589.1
925.6,584.2
921.8,587.8
918.9,586.2
919,585.4
921,581.6
915.8,581.6
916.5,579.8
915.6,576.6
903.9,580.2
904.4,583
908.2,588
910.2,587
911.9,586.8
920,600.7
918.5,604.8
915.5,602.2
913.4,603.1
913.5,598.2
912.3,597.8
904.1,597.3
899.6,587.7
900.2,582.2
900.2,569.4
904.6,570.5
905.6,569.2
906.3,570.8
909.2,572.7
914.1,570.8
911.8,568
910.6,564.2
906.4,561
907.4,553.7
914.9,548.7
915.2,548
911.9,548.3
908.4,545.1
904.8,544.8
902.7,545.4
902,546
900.2,546.6
899.3,548.9
900,549.5
896.2,549
894.8,544.8
897.1,539.8
893.6,536.9
896.3,534.6
894.4,532.9
895.3,527.7
892.1,528.6
887.1,533.8
885.9,535.8
882.6,539.1
878,539.9
876.7,541.4
876.6,541.6
875.4,541.3
878,548.1
879.3,551
874.8,552.2
865.8,545.3
863.9,549
864.2,553.1
865.5,553
865.9,558
866,560.9
865,560.8
859.9,556.4
859.7,554.8
858.9,550.4
861.3,547.5
857.6,546.1
858.3,544.6
857.6,543.4
855.8,544
853.8,544.9
852.6,546.3
852.5,550.7
850.6,558.1
851.5,558.6
850.9,561.2
851.5,562.2
851,566.6
849,567.9
845.5,569.2
851.6,571.6
851.4,575.1
853.1,576
850.5,579.5
847,576.9
846.3,577.4
845.7,577.8
845.4,571
843.4,572
840.9,571.2
841.2,569.5
840.7,566.1
843.5,566.2
843.2,561.2
844.8,557.4
846.3,557
846.3,552.7
842.6,544
842.7,542.1
839.6,541.2
839.8,542.3
836.8,552.2
832.5,552.7
826,540.4
821,540.1
821.4,541.7
824.3,552.5
826.6,560.1
822,564.5
817,568.4
833,566.9
834,565.5
835.5,565.2
836.5,567.4
836.4,571.8
832.9,576.4
832.2,576.3
831.3,574.8
828.1,574.1
827.6,574.3
828.2,578.1
824.7,582.7
820.9,582.3
818.6,576.1
817,574.3
818.4,572.9
810.3,569.8
814.5,565.5
813.5,561.8
811.6,560.8
815.1,557.4
813.9,556.5
812.4,556.1
810.1,557.4
807.9,558.6
808,555.3
804,556.4
802.5,556.9
804,553.2
806.4,551.7
808.5,550.8
804.7,548.3
802.2,549.9
798.7,545.8
797.2,544.5
800.5,540.3
800.4,536.5
802,534.2
